Season,batter,pitcher,events,stand,launch_speed,launch_angle,adjusted_angle,home_team
2026,808768,681190,field_out,L,92.8,33,34.21501717441645,AZ
2026,678489,681190,field_out,L,29.3,11,69.89240779268607,AZ
2026,669134,694297,field_out,R,71.2,7,44.71199348065703,AZ
2026,669304,694297,field_out,R,95.9,21,10.022640702380235,AZ
2026,545121,681190,field_out,L,98.1,14,-6.494414998556469,AZ
2026,677950,681190,double,L,71.9,55,47.7079174858662,AZ
2026,592206,694297,force_out,R,80.7,-10,-43.092964927664624,AZ
2026,657757,694297,field_error,L,65.8,10,19.28052271551361,AZ
2026,666023,694297,field_out,R,49.7,-35,27.445928966720537,AZ
2026,695069,683618,field_out,L,64.7,-68,-23.864421839682706,LAD
2026,695508,683618,field_out,R,93.6,-1,-34.02232881828224,LAD
2026,696030,683618,field_out,L,103.6,8,-44.039894629630716,LAD
2026,808234,686560,field_out,R,93.9,34,-7.827964081471965,LAD
2026,702488,686560,force_out,L,75.3,1,-30.721032455524302,LAD
2026,693819,686560,single,R,86.7,13,-19.050179516311907,LAD
2026,804560,686560,force_out,L,73.9,-29,-9.203638260349024,LAD
2026,592192,801434,field_out,R,103.1,22,-1.5228948791546646,LAD
2026,664059,801434,field_out,L,49.0,-19,-10.307892982269477,LAD
2026,695653,681168,field_out,L,60.8,0,-23.6256531139089,LAD
2026,681146,656924,field_out,R,75.7,34,-4.5704783530776165,LAD
2026,690976,687847,field_out,L,90.7,-21,-0.6843880233033267,LAD
2026,681624,687847,single,R,77.3,9,-33.94567322645154,LAD
2026,571970,687847,field_out,L,79.5,28,33.85846569598647,LAD
2026,606192,687847,double,R,100.9,26,44.147481442471566,LAD
2026,663656,687847,catcher_interf,L,106.4,-20,,LAD
2026,696030,656924,field_out,L,99.7,25,4.393647216803354,LAD
2026,592192,656924,home_run,R,105.8,28,-2.930661917208191,LAD
2026,457705,656924,single,R,73.0,-42,-52.23066302606168,LAD
2026,500743,455119,field_out,R,85.2,-31,17.76257249990524,LAD
2026,672613,455119,field_out,L,94.4,-29,-30.700472574108847,LAD
2026,645444,656924,field_out,L,93.9,47,14.891831270194647,LAD
2026,681146,656924,field_out,R,103.9,-14,3.797247880438436,LAD
2026,679822,656924,field_out,R,74.7,44,8.782580691035825,LAD
2026,690976,657022,field_out,L,69.5,68,62.372493023555094,LAD
2026,681624,657022,field_out,R,70.3,1,53.76503801627607,LAD
